i,x,A,P,rho,u,p,E,a,M,k
30,3.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3163270072832847e-01,3.3662865822692964e+02,3.3015670221505186e+05,2.8794960971622625e+06,8.7043056146560502e+02,3.8673809621312510e-01,1.2200000000000000e+00
31,3.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3159309850471081e-01,3.3662982323402900e+02,3.3015868980258796e+05,2.8797237780256211e+06,8.7046560335096615e+02,3.8672386586917440e-01,1.2200000000000000e+00
32,3.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3157602347385879e-01,3.3666113963507206e+02,3.3017493049665540e+05,2.8799638742464804e+06,8.7050099300871307e+02,3.8674411900607947e-01,1.2200000000000000e+00
33,3.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3157324374177006e-01,3.3669548556511023e+02,3.3019277100993798e+05,2.8801427547787782e+06,8.7052678690126129e+02,3.8677211388705907e-01,1.2200000000000000e+00
34,3.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3157008131193451e-01,3.3670522624892470e+02,3.3019952062289632e+05,2.8802205477981945e+06,8.7053827376502579e+02,3.8677819964502513e-01,1.2200000000000000e+00
35,3.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3156326212992056e-01,3.3669139754171766e+02,3.3019541990855319e+05,2.8802170478908052e+06,8.7053845200113051e+02,3.8676223522092096e-01,1.2200000000000000e+00
36,3.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3155614993054134e-01,3.3666992534783856e+02,3.3018791190922743e+05,2.8801833948527370e+06,8.7053437857090364e+02,3.8673937943786479e-01,1.2200000000000000e+00
37,3.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3155083310420104e-01,3.3665114042146450e+02,3.3018184571820672e+05,2.8801534389473610e+06,8.7053073553372849e+02,3.8671941917715441e-01,1.2200000000000000e+00
38,3.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3155312800516019e-01,3.3664336981114548e+02,3.3018098373402841e+05,2.8801312619533841e+06,8.7052772002155973e+02,3.8671183245354679e-01,1.2200000000000000e+00
39,3.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3156466186089701e-01,3.3664192187034865e+02,3.3018314386377035e+05,2.8800879825652963e+06,8.7052112321683387e+02,3.8671309965042189e-01,1.2200000000000000e+00
