# x rho u p E a A P k M
   0.00000000000000E+000    5.82584538850148E+000   -1.62820723102114E+000    7.79372313156159E+006    6.08083798904461E+006    1.27753534608146E+003    1.00852343655793E+000    3.55998304448970E+000    1.22000000000000E+000   -1.27449094540929E-003
   4.27135678391960E-002    5.60726752995688E+000    8.38868995070354E-001    7.76350491731303E+006    6.29337917255592E+006    1.29967029491226E+003    1.00852343655793E+000    3.55998304448970E+000    1.22000000000000E+000    6.45447540314053E-004
   8.54271356783920E-002    4.54794006164006E+000   -1.76617340374568E+002    6.42982845991235E+006    6.44191130647786E+006    1.31332509385234E+003    1.00852343655793E+000    3.55998304448970E+000    1.22000000000000E+000   -1.34481052103026E-001
   1.28140703517588E-001    4.54794006164006E+000    1.76617340374568E+002    3.98649364514566E+006    6.44191130647786E+006    9.98053413621954E+002    1.00852343655793E+000    3.55998304448970E+000    1.13640000000000E+000    1.76961811826905E-001
   1.70854271356784E-001    5.60263300604949E+000   -8.38868995070354E-001    4.80939469522226E+006    6.29337917255592E+006    9.87676532255513E+002    1.00935769180414E+000    3.56145515732895E+000    1.13640000000000E+000   -8.49335756874436E-004
   2.13567839195980E-001    5.80961637075976E+000    1.62820723102114E+000    4.81864757033659E+006    6.08083798904461E+006    9.70855212580491E+002    1.01134072150419E+000    3.56495193850001E+000    1.13640000000000E+000    1.67708553234569E-003
   2.56281407035176E-001    5.98089335735920E+000    3.12618120859310E+000    4.82624546643349E+006    5.91601595118945E+006    9.57606943605283E+002    1.01212413244246E+000    3.56633242365441E+000    1.13640000000000E+000    3.26457658799274E-003
   2.98994974874372E-001    6.09210596406985E+000    2.92484976054006E+000    4.82254326539660E+006    5.80356207019868E+006    9.48462041166975E+002    1.01273256676245E+000    3.56740420574515E+000    1.13640000000000E+000    3.08378156804395E-003
   3.41708542713568E-001    6.13313322133890E+000    2.25753317883670E+000    4.81570772564663E+006    5.75656674479115E+006    9.44614208566492E+002    1.01328973760726E+000    3.56838540274163E+000    1.13640000000000E+000    2.38989966312558E-003
   3.84422110552764E-001    6.13064739060897E+000    1.67645070815500E+000    4.80958309093262E+006    5.75157556276105E+006    9.44204703559056E+002    1.01369049422477E+000    3.56909098212435E+000    1.13640000000000E+000    1.77551615855740E-003
   4.27135678391960E-001    6.11679488390357E+000    1.63375639211983E+000    4.80649533117473E+006    5.76090001348239E+006    9.44969771626226E+002    1.01397298794053E+000    3.56958826188818E+000    1.13640000000000E+000    1.72889804645100E-003
