"build_mode","threads","run","wall_sec","program_sec","process_cpu_sec","hidden_wall_minus_program_sec","cpu_seconds_per_wall_second"
"release","1","1","47,835845","47,763","47,34375","0,072845","0,989713"
"pg","1","1","55,071177","54,991","53","0,080177","0,962391"
