i,x,A,P,rho,u,p,E,a,M,k
89,3.8015075376884422e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3211365541108857e-01,3.3683050405762413e+02,3.3037601198019326e+05,2.8788860253693303e+06,8.7032601741950566e+02,3.8701647120273153e-01,1.2200000000000000e+00
90,3.8442211055276383e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3205296304947647e-01,3.3673396656630064e+02,3.3033271079203725e+05,2.8788055103098853e+06,8.7031861556916942e+02,3.8690884067334808e-01,1.2200000000000000e+00
91,3.8869346733668340e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3197053012502316e-01,3.3660180938576428e+02,3.3027290527507220e+05,2.8786873130980046e+06,8.7030725058276448e+02,3.8676204198043057e-01,1.2200000000000000e+00
92,3.9296482412060301e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3186794385617941e-01,3.3643699318345637e+02,3.3019797046451218e+05,2.8785357529573045e+06,8.7029243256070674e+02,3.8657924692455420e-01,1.2200000000000000e+00
93,3.9723618090452262e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3175259865135260e-01,3.3625180964896032e+02,3.3011362407675304e+05,2.8783645910742306e+06,8.7027564353856883e+02,3.8637391744269622e-01,1.2200000000000000e+00
94,4.0150753768844218e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3163603655948910e-01,3.3606491078796375e+02,3.3002853696957545e+05,2.8781929654493583e+06,8.7025886628664887e+02,3.8616660376232181e-01,1.2200000000000000e+00
95,4.0577889447236180e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3153091369820527e-01,3.3589638012157604e+02,3.2995203231251647e+05,2.8780401658195620e+06,8.7024403505820032e+02,3.8597952596033813e-01,1.2200000000000000e+00
96,4.1005025125628141e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3144696963096361e-01,3.3576143289501920e+02,3.2989115293452813e+05,2.8779198333216491e+06,8.7023246720616237e+02,3.8582958640116521e-01,1.2200000000000000e+00
97,4.1432160804020102e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3138637030214586e-01,3.3566315850213391e+02,3.2984729386929015e+05,2.8778334429049799e+06,8.7022423249629583e+02,3.8572030744221164e-01,1.2200000000000000e+00
98,4.1859296482412063e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3134241616761024e-01,3.3559063142649023e+02,3.2981532701810391e+05,2.8777690375472815e+06,8.7021805418443557e+02,3.8563970238586265e-01,1.2200000000000000e+00
99,4.2286432160804015e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3130624059871623e-01,3.3552987315740614e+02,3.2978867453161353e+05,2.8777127383722677e+06,8.7021251616217455e+02,3.8557233655655226e-01,1.2200000000000000e+00
100,4.2713567839195976e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3127309892993568e-01,3.3547395973541353e+02,3.2976399132720515e+05,2.8776588001720994e+06,8.7020709098705038e+02,3.8551048734261090e-01,1.2200000000000000e+00
101,4.3140703517587937e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3124329522438751e-01,3.3542429503401718e+02,3.2974176498249633e+05,2.8776102507725265e+06,8.7020217310929036e+02,3.8545559342322006e-01,1.2200000000000000e+00
